id,name,description,image,price,ingredients,category
1,Bún Mọc,"Món bún có nước dùng thanh nấu từ xương heo, ăn kèm mọc (viên thịt heo xay trộn mộc nhĩ), chả lụa, nấm hương và hành ngò.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704368/B%C3%BAn_M%E1%BB%8Dc_xkmu0t.jpg,45000,"Bún, xương heo, thịt heo xay, mộc nhĩ, chả lụa, hành, gia vị",Bữa sáng tiện lợi
2,Bánh Đúc Nóng,"Bánh đúc làm từ bột gạo, ăn nóng với thịt băm xào mộc nhĩ, hành phi, nước mắm ngọt và rau thơm.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704367/B%C3%A1nh_%C4%90%C3%BAc_N%C3%B3ng_zp9xgx.jpg,30000,"Bột gạo, thịt heo, mộc nhĩ, hành phi, nước mắm, rau thơm",Bữa sáng tiện lợi
3,Mì Xào Giòn,"Mì chiên giòn, rưới nước sốt sệt nấu từ rau củ, hải sản hoặc thịt bò, tạo độ tương phản giữa giòn và mềm.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704367/M%C3%AC_X%C3%A0o_Gi%C3%B2n_jxrcmq.jpg,50000,"Mì, tôm/mực/thịt bò, cải xanh, cà rốt, bột năng, gia vị",Bữa sáng tiện lợi
4,Bánh Mì Chảo,"Bánh mì ăn kèm chảo trứng ốp la, xúc xích, pate, thịt nguội, bơ, hành tây và sốt cà chua – nóng hổi và hấp dẫn.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704367/B%C3%A1nh_M%C3%AC_Ch%E1%BA%A3o_qvro2z.jpg,45000,"Bánh mì, trứng, pate, xúc xích, thịt nguội, hành tây, bơ",Bữa sáng tiện lợi
5,Bánh Ướt,"Món bánh ướt mỏng mềm, ăn kèm chả lụa, giá trụng, rau sống, hành phi và nước mắm chua ngọt.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704367/B%C3%A1nh_%C6%AF%E1%BB%9Bt_rxauhl.jpg,30000,"Bột gạo, chả lụa, giá đỗ, rau sống, hành phi, nước mắm",Bữa sáng tiện lợi
6,Xôi Mặn,"Xôi nếp dẻo ăn kèm chả lụa, lạp xưởng, trứng cút, ruốc, hành phi, nước tương – no lâu và tiện lợi.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704367/X%C3%B4i_M%E1%BA%B7n_iaderl.jpg,40000,"Gạo nếp, chả lụa, lạp xưởng, trứng cút, ruốc, hành phi",Bữa sáng tiện lợi
7,Bánh Tằm Bì,"Món ăn sáng đặc sản của miền Tây Nam Bộ. Sợi bánh tằm mềm, trắng, dai nhẹ ăn kèm với bì heo. rau sống và nước cốt dừa béo thơm. Món ăn vừa mặn, vừa ngọt, có vị béo nhẹ.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%A1nh_T%E1%BA%B1m_B%C3%AC_ca2g9z.jpg,30000,"Bánh tằm (bột gạo), bì heo, nước cốt dừa, rau sống (xà lách, húng quế, giá), dưa leo, nước mắm pha, hành phi.",Bữa sáng tiện lợi
8,Bánh Mì Ốp La,"Món ăn sáng đơn giản và phổ biến với trứng gà ốp la ăn kèm bánh mì nóng giòn. Có thêm pate, bơ, dưa leo, nước tương, hoặc tương ớt để tăng hương vị.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/B%C3%A1nh_M%C3%AC_%E1%BB%90p_La_ovvso2.jpg,30000,"Bánh mì, trứng gà, dầu ăn/bơ, pate (tùy chọn), dưa leo, gia vị (nước tương, muối tiêu, tương ớt).",Bữa sáng tiện lợi
9,Cháo Lòng,"Cháo được nấu từ gạo rang thơm ninh nhừ với nước luộc lòng, ăn kèm các loại lòng heo như dồi, tim, gan, cật, phèo. Món ăn đậm đà, béo nhẹ, có thể rắc thêm hành lá, tiêu xay, rau thơm và ăn kèm quẩy giòn.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/Ch%C3%A1o_L%C3%B2ng_umteyg.jpg,40000,"Gạo, nước luộc lòng, dồi, tim, gan, phèo, hành lá, rau thơm, tiêu, nước mắm, quẩy (tùy chọn).",Bữa sáng tiện lợi
10,Phở Bò,"Nước dùng trong, ngọt thanh được ninh từ xương bò và gia vị như quế, hồi, gừng nướng. Phở ăn kèm bánh phở mềm, thịt bò tái, nạm hoặc gầu, thêm hành lá, rau thơm và chút chanh ớt để đậm vị.",https://res.cloudinary.com/dai92e7cq/image/upload/v1746704366/Ph%E1%BB%9F_B%C3%B2_j3iroc.jpg,60000,"Xương bò, bánh phở, thịt bò (tái, nạm, gầu), hành lá, rau thơm, quế, hồi, gừng, hành tây, chanh, ớt, gia vị",Bữa sáng tiện lợi
